city,district,lat,lng,category,season,hotel_budget,hotel_mid,hotel_luxury,food_budget,food_mid,food_luxury,local_transport_urban,local_transport_rural,flight_base_rate,bus_available,bus_km_rate,train_available,train_km_rate,flight_available
Delhi,New Delhi,28.61,77.23,Tier-X,peak,2761,5274,13097,515,1699,2466,431,0,4736,1,0.85,1,0.73,1
Delhi,New Delhi,28.61,77.23,Tier-X,shoulder,2261,4941,9110,354,920,2732,575,0,4286,1,1.08,1,0.71,1
Delhi,New Delhi,28.61,77.23,Tier-X,offpeak,1932,3917,8128,386,1027,2207,352,0,2534,1,0.87,1,0.72,1
Mumbai,Mumbai City,18.97,72.82,Tier-X,peak,2420,6904,14558,574,1207,2557,397,0,5866,1,1.17,1,0.73,1
Mumbai,Mumbai City,18.97,72.82,Tier-X,shoulder,2819,7660,16805,343,1024,2631,491,0,3577,1,0.97,1,0.71,1
Mumbai,Mumbai City,18.97,72.82,Tier-X,offpeak,1394,5816,6963,432,822,2484,344,0,3995,1,0.91,1,0.73,1
Bengaluru,Bengaluru Urban,12.98,77.59,Tier-X,peak,2036,7238,14048,424,1332,2750,710,0,4100,1,1.02,1,0.72,1
Bengaluru,Bengaluru Urban,12.98,77.59,Tier-X,shoulder,2628,6468,17940,567,1381,2888,590,0,4455,1,1.15,1,0.71,1
Bengaluru,Bengaluru Urban,12.98,77.59,Tier-X,offpeak,1922,5250,9319,349,863,2686,406,0,4435,1,0.85,1,0.73,1
Kolkata,Kolkata,22.57,88.36,Tier-X,peak,2663,7798,15011,357,1545,2768,443,0,4532,1,0.96,1,0.71,1
Kolkata,Kolkata,22.57,88.36,Tier-X,shoulder,1910,6608,13215,324,844,2876,327,0,3319,1,1.0,1,0.71,1
Kolkata,Kolkata,22.57,88.36,Tier-X,offpeak,1576,4778,9406,425,956,2414,527,0,2848,1,0.98,1,0.72,1
Hyderabad,Hyderabad,17.36,78.47,Tier-X,peak,1749,6324,10255,490,1114,2934,584,0,5374,1,0.85,1,0.73,1
Hyderabad,Hyderabad,17.36,78.47,Tier-X,shoulder,2068,8048,17123,361,924,3041,477,0,4796,1,0.93,1,0.72,1
Hyderabad,Hyderabad,17.36,78.47,Tier-X,offpeak,1842,4262,12346,443,1148,2022,381,0,3989,1,1.2,1,0.72,1
Ahmedabad,Ahmedabad,23.01,72.34,Tier-X,peak,2277,9240,14974,462,1511,2628,639,0,4928,1,0.97,1,0.72,1
Ahmedabad,Ahmedabad,23.01,72.34,Tier-X,shoulder,2344,6391,17504,418,1001,2209,448,0,5358,1,1.14,1,0.71,1
Ahmedabad,Ahmedabad,23.01,72.34,Tier-X,offpeak,1477,6138,7396,354,1213,2499,389,0,3618,1,1.05,1,0.71,1
Pune,Pune,18.52,73.85,Tier-X,peak,2942,7035,15382,352,1042,3274,600,0,5381,1,1.04,1,0.72,1
Pune,Pune,18.52,73.85,Tier-X,shoulder,2138,7713,14352,474,1485,2280,589,0,4373,1,1.11,1,0.71,1
Pune,Pune,18.52,73.85,Tier-X,offpeak,1234,4418,8485,324,1291,2173,307,0,3081,1,1.15,1,0.72,1
Chennai,Chennai,13.09,80.27,Tier-X,peak,2114,5751,20921,342,1567,2746,493,0,5606,1,0.86,1,0.73,1
Chennai,Chennai,13.09,80.27,Tier-X,shoulder,2030,4961,17358,481,870,2878,405,0,4689,1,0.85,1,0.71,1
Chennai,Chennai,13.09,80.27,Tier-X,offpeak,1523,5499,13500,393,1288,2603,583,0,4831,1,1.16,1,0.72,1
Jaipur,Jaipur,26.92,75.82,Tier-Y,peak,3091,6634,11074,341,1301,2798,587,0,3920,1,1.08,1,0.71,1
Jaipur,Jaipur,26.92,75.82,Tier-Y,shoulder,1758,4879,9488,412,1395,2079,452,0,3652,1,1.05,1,0.72,1
Jaipur,Jaipur,26.92,75.82,Tier-Y,offpeak,1633,3243,4334,352,671,1649,413,0,3121,1,1.21,1,0.73,1
Agra,Agra,27.11,78.02,Tier-Y,peak,2481,6134,18101,387,1084,2195,355,0,0,1,1.06,1,0.72,0
Agra,Agra,27.11,78.02,Tier-Y,shoulder,1874,4745,8825,256,941,2274,422,0,0,1,1.03,1,0.73,0
Agra,Agra,27.11,78.02,Tier-Y,offpeak,1007,4097,7663,305,636,1514,340,0,0,1,1.23,1,0.72,0
Amritsar,Amritsar,31.64,74.86,Tier-Y,peak,2364,5475,9766,424,1035,2622,479,0,2607,1,1.0,1,0.73,1
Amritsar,Amritsar,31.64,74.86,Tier-Y,shoulder,1722,4764,9734,373,794,2553,310,0,4205,1,0.88,1,0.71,1
Amritsar,Amritsar,31.64,74.86,Tier-Y,offpeak,1308,2421,5471,316,747,1261,265,0,2633,1,1.19,1,0.73,1
Varanasi,Varanasi,25.33,83.01,Tier-Y,peak,1707,6091,8440,256,1029,2956,489,0,3513,1,0.88,1,0.71,1
Varanasi,Varanasi,25.33,83.01,Tier-Y,shoulder,1418,4875,10140,341,1116,2525,453,0,4121,1,1.04,1,0.72,1
Varanasi,Varanasi,25.33,83.01,Tier-Y,offpeak,1553,2893,5064,193,486,1398,335,0,2811,1,1.01,1,0.71,1
Kochi,Ernakulam,9.96,76.25,Tier-Y,peak,1742,5677,14268,361,940,2397,404,0,4542,1,0.98,1,0.73,1
Kochi,Ernakulam,9.96,76.25,Tier-Y,shoulder,1641,6018,14611,320,734,2219,495,0,2470,1,1.08,1,0.72,1
Kochi,Ernakulam,9.96,76.25,Tier-Y,offpeak,1259,4769,5851,351,664,1429,428,0,2469,1,0.9,1,0.73,1
Mysore,Mysore,12.31,76.65,Tier-Y,peak,2743,7675,9422,436,794,2181,546,0,5111,1,1.04,1,0.72,1
Mysore,Mysore,12.31,76.65,Tier-Y,shoulder,2143,5607,10317,234,972,2612,343,0,3847,1,0.92,1,0.73,1
Mysore,Mysore,12.31,76.65,Tier-Y,offpeak,1182,2111,4470,319,684,1507,457,0,2213,1,1.16,1,0.72,1
Bhopal,Bhopal,23.25,77.41,Tier-Y,peak,1636,4948,8645,317,1029,2700,433,0,0,1,1.2,1,0.72,0
Bhopal,Bhopal,23.25,77.41,Tier-Y,shoulder,1978,3797,11714,291,1129,2521,462,0,0,1,1.05,1,0.73,0
Bhopal,Bhopal,23.25,77.41,Tier-Y,offpeak,1821,4008,5867,200,564,1672,453,0,0,1,1.02,1,0.71,0
Bhubaneswar,Khordha,20.27,85.84,Tier-Y,peak,1331,5860,12379,336,1198,1747,340,0,3109,1,0.97,1,0.72,1
Bhubaneswar,Khordha,20.27,85.84,Tier-Y,shoulder,1744,4266,8088,220,1026,1795,372,0,2437,1,0.96,1,0.71,1
Bhubaneswar,Khordha,20.27,85.84,Tier-Y,offpeak,1028,2115,6979,306,809,1712,252,0,2364,1,1.02,1,0.73,1
Dehradun,Dehradun,30.345,78.029,Tier-Y,peak,1987,8545,16321,308,901,2387,478,0,3411,1,1.05,1,0.71,1
Dehradun,Dehradun,30.345,78.029,Tier-Y,shoulder,1766,5915,7716,324,818,2710,262,0,3624,1,0.88,1,0.72,1
Dehradun,Dehradun,30.345,78.029,Tier-Y,offpeak,1046,3299,4267,275,485,1824,239,0,2734,1,1.19,1,0.72,1
Erode,Erode,11.34,77.72,Tier-Y,peak,1873,5543,9524,305,775,2739,519,0,2683,1,0.93,1,0.73,1
Erode,Erode,11.34,77.72,Tier-Y,shoulder,1753,3258,12228,406,847,2090,299,0,2511,1,1.13,1,0.72,1
Erode,Erode,11.34,77.72,Tier-Y,offpeak,1446,4095,7725,214,731,1943,526,0,3098,1,0.96,1,0.72,1
Faridabad,Faridabad,28.4,77.31,Tier-Y,peak,1295,4062,10519,289,644,1820,481,0,2455,1,0.95,1,0.73,1
Faridabad,Faridabad,28.4,77.31,Tier-Y,shoulder,1811,5481,9935,402,1100,2293,324,0,3643,1,1.11,1,0.71,1
Faridabad,Faridabad,28.4,77.31,Tier-Y,offpeak,1599,2574,6267,230,1053,1378,403,0,3197,1,0.89,1,0.71,1
Patna,Patna,25.59,85.13,Tier-Y,peak,1661,5817,10778,334,982,2883,361,0,3168,1,1.1,1,0.73,1
Patna,Patna,25.59,85.13,Tier-Y,shoulder,1948,3671,7272,279,856,2040,428,0,4180,1,1.14,1,0.72,1
Patna,Patna,25.59,85.13,Tier-Y,offpeak,1017,3589,6642,230,882,1860,443,0,2534,1,0.89,1,0.72,1
Puducherry,Puducherry,11.94,79.81,Tier-Y,peak,1999,4211,10014,325,1149,2250,298,0,0,1,1.0,1,0.72,0
Puducherry,Puducherry,11.94,79.81,Tier-Y,shoulder,2480,4520,7728,345,749,2584,570,0,0,1,1.02,1,0.72,0
Puducherry,Puducherry,11.94,79.81,Tier-Y,offpeak,1384,3476,4743,367,704,1604,388,0,0,1,1.11,1,0.71,0
Rajkot,Rajkot,22.3,70.79,Tier-Y,peak,1779,4879,12923,436,1240,2827,486,0,4027,1,0.93,1,0.72,1
Rajkot,Rajkot,22.3,70.79,Tier-Y,shoulder,1218,3002,8754,228,872,2356,311,0,3849,1,0.88,1,0.72,1
Rajkot,Rajkot,22.3,70.79,Tier-Y,offpeak,1471,3164,5162,255,979,1291,468,0,3053,1,1.14,1,0.72,1
Thiruvananthapuram,Thiruvananthapuram,8.52,76.94,Tier-Y,peak,1940,6250,15121,340,1034,2955,338,0,3914,1,1.22,1,0.72,1
Thiruvananthapuram,Thiruvananthapuram,8.52,76.94,Tier-Y,shoulder,2141,3473,9901,259,834,2806,446,0,4711,1,0.89,1,0.72,1
Thiruvananthapuram,Thiruvananthapuram,8.52,76.94,Tier-Y,offpeak,1515,3639,4803,260,921,1223,354,0,2124,1,0.95,1,0.71,1
Tiruchirappalli,Tiruchirappalli,10.79,78.7,Tier-Y,peak,1847,5920,13312,315,1504,2924,423,0,3505,1,1.12,1,0.72,1
